,Model,Colour,Memory,RAM,Battery,Rear_camera_mp,Front_Camera_mp,AI Lens,Mobile Height,Processor,Price
2,MOTOROLA G32,Mineral Gray,128,8,5000,50,16,0,16.64,Qualcomm Snapdragon 680,11999
3,POCO C50,Royal Blue,32,2,5000,8,5,0,16.56,Mediatek Helio A22,5649
14,SAMSUNG Galaxy F04,Opal Green,64,4,5000,13,5,0,16.51,Mediatek Helio P35,7299
15,POCO C51,Royal Blue,64,4,5000,8,5,0,16.56,Helio G36,6999
17,POCO C51,Power Black,64,4,5000,8,5,0,16.56,Helio G36,6999
18,POCO C50,Country Green,32,2,5000,8,5,0,16.56,Mediatek Helio A22,5649
19,MOTOROLA e13,Cosmic Black,64,4,5000,13,5,0,16.51,Unisoc T606,7299
20,vivo T2x 5G,Aurora Gold,128,8,5000,50,8,0,16.71,Dimensity 6020,15999
21,vivo T2x 5G,Marine Blue,128,8,5000,50,8,0,16.71,Dimensity 6020,15999
22,vivo T2x 5G,Glimmer Black,128,8,5000,50,8,0,16.71,Dimensity 6020,15999
23,vivo T2x 5G,Marine Blue,128,6,5000,50,8,0,16.71,Dimensity 6020,13999
24,vivo T2x 5G,Glimmer Black,128,4,5000,50,8,0,16.71,Dimensity 6020,12999
25,vivo T2x 5G,Glimmer Black,128,6,5000,50,8,0,16.71,Dimensity 6020,13999
26,vivo T2x 5G,Marine Blue,128,4,5000,50,8,0,16.71,Dimensity 6020,12999
27,vivo T2x 5G,Marine Blue,128,6,5000,50,8,0,16.71,Dimensity 6020,13999
29,REDMI A1+,Black,32,3,5000,8,5,0,16.56,Mediatek Helio A22,6599
30,REDMI A1+,Light Blue,32,3,5000,8,5,0,16.56,Mediatek Helio A22,6599
31,POCO C55,Power Black,64,4,5000,50,5,0,17.04,Mediatek Helio G85,7749
32,REDMI A1+,Light Green,32,3,5000,8,5,0,16.56,Mediatek Helio A22,6599
33,POCO C55,Cool Blue,64,4,5000,50,5,0,17.04,Mediatek Helio G85,7749
34,POCO C55,Forest Green,64,4,5000,50,5,0,17.04,Mediatek Helio G85,7749
35,POCO C55,Cool Blue,128,6,5000,50,5,0,17.04,Mediatek Helio G85,8999
38,MOTOROLA g13,Matte Charcoal,128,4,5000,50,8,0,16.51,Helio G85,9999
39,POCO M4 5G,Cool Blue,64,4,5000,50,8,0,16.71,Mediatek Dimensity 700,11999
40,MOTOROLA e32,Eco Black,64,4,5000,50,8,0,16.51,Mediatek Helio G37,7999
42,SAMSUNG Galaxy F04,Jade Purple,64,4,5000,13,5,0,16.51,Mediatek Helio P35,7299
43,MOTOROLA G32,Satin Silver,128,8,5000,50,16,0,16.64,Qualcomm Snapdragon 680,11999
46,MOTOROLA e32,Arctic Blue,64,4,5000,50,8,0,16.51,Mediatek Helio G37,7999
47,MOTOROLA g13,Lavender Blue,128,4,5000,50,8,0,16.51,Helio G85,9999
48,MOTOROLA e32,Arctic Blue,64,4,5000,50,8,0,16.51,Mediatek Helio G37,7999
49,POCO C55,Power Black,128,6,5000,50,5,0,17.04,Mediatek Helio G85,8999
50,vivo T2 5G,Velocity Wave,128,8,4500,40,16,0,16.21,Snapdragon 695,20999
51,vivo T2 5G,Nitro Blaze,128,8,4500,40,16,0,16.21,Snapdragon 695,20999
52,MOTOROLA G62 5G,Frosted Blue,128,6,5000,50,16,0,16.64,Qualcomm Snapdragon 695 5G,15499
53,POCO C50,Royal Blue,32,2,5000,8,5,0,16.56,Mediatek Helio A22,6999
54,vivo T2 5G,Nitro Blaze,128,6,4500,32,16,0,16.21,Snapdragon 695,18999
55,vivo T2 5G,Velocity Wave,128,6,4500,32,16,0,16.21,Snapdragon 695,18999
56,POCO M5,Yellow,64,4,5000,50,8,0,16.71,Mediatek Helio G99,12499
57,MOTOROLA G62 5G,Midnight Gray,128,6,5000,50,16,0,16.64,Qualcomm Snapdragon 695 5G,15499
58,POCO M4 5G,Power Black,64,4,5000,50,8,0,16.71,Mediatek Dimensity 700,11999
61,POCO M5,Power Black,64,4,5000,50,8,0,16.71,Mediatek Helio G99,12499
62,MOTOROLA e13,Creamy White,64,4,5000,13,5,0,16.51,Unisoc T606,7299
63,realme C33 2023,Sandy Gold,128,4,5000,50,5,0,16.51,Unisoc T612,10499
64,realme C33 2023,Aqua Blue,128,4,5000,50,5,0,16.51,Unisoc T612,10499
66,MOTOROLA g73 5G,Midnight Blue,128,8,5000,50,16,0,16.51,Mediatek Dimensity 930,16999
67,realme C33 2023,Night Sea,128,4,5000,50,5,0,16.51,Unisoc T612,10499
68,realme C30,Bamboo Green,32,3,5000,8,5,0,16.51,Unisoc T612,6499
69,realme C30,Lake Blue,32,3,5000,8,5,0,16.51,Unisoc T612,6499
70,realme C30,Denim Black,32,2,5000,8,5,0,16.51,Unisoc T612,5999
71,realme C30,Denim Black,32,3,5000,8,5,0,16.51,Unisoc T612,6499
72,POCO X5 5G,Wildcat Blue,128,6,5000,48,13,0,16.94,Qualcomm Snapdragon 695,15999
73,REDMI A1+,Light Blue,32,2,5000,8,5,0,16.56,Mediatek Helio A22,6299
74,POCO M4 Pro,Yellow,128,8,5000,64,16,0,16.33,Mediatek Helio G96,13999
76,POCO C50,Royal Blue,32,3,5000,8,5,0,16.56,Mediatek Helio A22,6299
77,POCO M5,Icy Blue,128,6,5000,50,8,0,16.71,Mediatek Helio G99,14499
78,REDMI 11 Prime,Flashy Black,64,4,5000,50,8,0,16.71,Helio G99,9999
79,realme C55,Sunshower,128,8,5000,64,8,0,17.07,Helio G88,13999
80,realme C55,Rainy Night,128,8,5000,64,8,0,17.07,Helio G88,13999
81,realme C55,Sunshower,64,6,5000,64,8,0,17.07,Helio G88,11999
82,realme C55,Rainforest,128,8,5000,64,8,0,17.07,Helio G88,13999
83,realme C55,Rainy Night,64,6,5000,64,8,0,17.07,Helio G88,11999
84,realme C55,Rainforest,64,6,5000,64,8,0,17.07,Helio G88,11999
85,realme C55,Sunshower,64,4,5000,64,8,0,17.07,Helio G88,10999
86,realme C55,Rainforest,64,4,5000,64,8,0,17.07,Helio G88,10999
87,realme C55,Rainy Night,64,4,5000,64,8,0,17.07,Helio G88,10999
93,REDMI 11 Prime,Peppy Purple,64,4,5000,50,8,0,16.71,Helio G99,9999
94,MOTOROLA g73 5G,Lucent White,128,8,5000,50,16,0,16.51,Mediatek Dimensity 930,16999
95,POCO M5,Icy Blue,64,4,5000,50,8,0,16.71,Mediatek Helio G99,12499
96,realme 10 Pro 5G,Dark Matter,128,8,5000,108,16,0,17.07,Qualcomm Snapdragon 695 5G,19999
97,realme 10 Pro 5G,Nebula Blue,128,6,5000,108,16,0,17.07,Qualcomm Snapdragon 695 5G,18999
99,POCO M5,Power Black,128,6,5000,50,8,0,16.71,Mediatek Helio G99,14499
100,POCO M5,Yellow,128,6,5000,50,8,0,16.71,Mediatek Helio G99,14499
101,POCO M4 Pro 5G,Yellow,128,8,5000,50,16,0,16.76,Mediatek Dimensity 810,15999
102,realme 10 Pro 5G,Hyperspace,128,8,5000,108,16,0,17.07,Qualcomm Snapdragon 695 5G,19999
103,realme 10 Pro 5G,Dark Matter,128,6,5000,108,16,0,17.07,Qualcomm Snapdragon 695 5G,18999
104,realme 10 Pro 5G,Nebula Blue,128,8,5000,108,16,0,17.07,Qualcomm Snapdragon 695 5G,19999
105,realme 10 Pro 5G,Hyperspace,128,6,5000,108,16,0,17.07,Qualcomm Snapdragon 695 5G,18999
106,POCO C50,Country Green,32,3,5000,8,5,0,16.56,Mediatek Helio A22,6299
107,realme Narzo 30 Pro 5G,Blade Silver,128,8,5000,48,16,0,16.51,MediaTek Dimensity 800U,15999
109,Infinix Note 12 Pro 5G,Force Black,128,8,5000,108,16,0,17.02,Mediatek Dimensity 810 5G,15999
110,Infinix Note 12 Pro 5G,Snowfall,128,8,5000,108,16,0,17.02,Mediatek Dimensity 810 5G,15999
111,POCO X5 5G,Supernova Green,128,6,5000,48,13,0,16.94,Qualcomm Snapdragon 695,15999
113,SAMSUNG Galaxy F23 5G,Aqua Blue,128,6,5000,50,8,0,16.76,Qualcomm Snapdragon 750G,16999
119,POCO M4 5G,Yellow,64,4,5000,50,8,0,16.71,Mediatek Dimensity 700,11999
120,POCO M4 5G,Yellow,128,6,5000,50,8,0,16.71,Mediatek Dimensity 700,13999
125,realme Narzo 30,Racing Silver,128,6,5000,48,16,0,16.51,MediaTek Helio G95,12499
126,Infinix NOTE 12i,Alpine White,64,4,5000,50,8,0,17.02,Mediatek Helio G85,9999
127,POCO X5 5G,Jaguar Black,256,8,5000,48,13,0,16.94,Qualcomm Snapdragon 695,17999
128,realme 10,Rush Black,64,4,5000,50,16,0,16.26,Mediatek Helio G99 Octa Core,12499
129,realme 8i,Space Black,64,4,5000,50,16,0,16.76,MediaTek Helio G96,11499
131,REDMI A1+,Light Green,32,2,5000,8,5,0,16.56,Mediatek Helio A22,6299
134,realme Narzo 30,Racing Blue,128,6,5000,48,16,0,16.51,MediaTek Helio G95,12499
137,REDMI A1+,Black,32,2,5000,8,5,0,16.56,Mediatek Helio A22,6299
139,Infinix NOTE 12i,Metaverse Blue,64,4,5000,50,8,0,17.02,Mediatek Helio G85,9999
140,realme GT 2,Steel Black,128,8,5000,50,16,0,16.81,Qualcomm Snapdragon 888,23999
141,realme GT 2,Paper White,128,8,5000,50,16,0,16.81,Qualcomm Snapdragon 888,23999
142,realme 10,Clash White,64,4,5000,50,16,0,16.26,Mediatek Helio G99 Octa Core,12499
143,REDMI Note 12,Sunrise Gold,64,6,5000,50,13,0,16.94,Snapdragon 685,14999
145,REDMI Note 12 5G,Frosted Green,128,6,5000,48,13,0,16.94,Qualcomm Snapdragon 4 Gen 1,18999
146,REDMI Note 12 5G,Matte Black,128,6,5000,48,13,0,16.94,Qualcomm Snapdragon 4 Gen 1,18999
147,REDMI Note 12 5G,Mystique Blue,128,6,5000,48,13,0,16.94,Qualcomm Snapdragon 4 Gen 1,18999
148,Infinix NOTE 12i,Force Black,64,4,5000,50,8,0,17.02,Mediatek Helio G85,9999
149,REDMI Note 12 5G,Matte Black,128,4,5000,48,13,0,16.94,Qualcomm Snapdragon 4 Gen 1,16999
150,REDMI Note 12 5G,Mystique Blue,128,4,5000,48,13,0,16.94,Qualcomm Snapdragon 4 Gen 1,16999
153,SAMSUNG Galaxy M04,Dark Blue,64,4,5000,13,5,0,16.51,MediaTek Helio P35,7961
157,REDMI 11 Prime,Flashy Black,128,6,5000,50,8,0,16.71,Helio G99,11999
158,REDMI 11 Prime,Peppy Purple,128,6,5000,50,8,0,16.71,Helio G99,11999
159,REDMI K50i 5G,Stealth Black,256,8,5080,64,16,0,16.76,Dimensity 8100,23999
160,MOTOROLA e40,Carbon Gray,64,4,5000,48,8,0,16.51,UNISOC T700,8999
161,REDMI 9 Activ,Coral Green,128,6,5000,13,5,0,16.59,Mediatek Helio G35,9499
162,REDMI Note 12,Ice Blue,64,6,5000,50,13,0,16.94,Snapdragon 685,14999
163,SAMSUNG Galaxy F23 5G,Copper Blush,128,6,5000,50,8,0,16.76,Qualcomm Snapdragon 750G,16999
164,MOTOROLA g42,Atlantic Green,64,4,5000,50,16,0,16.43,Qualcomm Snapdragon 680,11248
166,POCO X5 Pro 5G,Horizon Blue,256,8,5000,108,16,0,16.94,Qualcomm Snapdragon 778G,23999
167,realme 8i,Space Purple,128,6,5000,50,16,0,16.76,MediaTek Helio G96,17999
168,realme 10,Clash White,128,8,5000,50,16,0,16.26,Mediatek Helio G99 Octa Core,15499
169,MOTOROLA e13,Cosmic Black,64,2,5000,13,5,0,16.51,Unisoc T606,6799
170,SAMSUNG Galaxy F23 5G,Forest Green,128,6,5000,50,8,0,16.76,Qualcomm Snapdragon 750G,16999
171,POCO M3 Pro 5G,Yellow,128,6,5000,48,8,0,16.51,MediaTek Dimensity 700,14499
172,Infinix Smart 6 HD,Force Black,32,2,5000,8,5,0,16.76,Mediatek Helio A22,5999
173,Infinix Smart 6 HD,Aqua Sky,32,2,5000,8,5,0,16.76,Mediatek Helio A22,5999
174,Infinix Smart 6 HD,Origin Blue,32,2,5000,8,5,0,16.76,Mediatek Helio A22,5999
175,POCO X5 Pro 5G,Astral Black,256,8,5000,108,16,0,16.94,Qualcomm Snapdragon 778G,23999
176,REDMI Note 12 5G,Frosted Green,128,4,5000,48,13,0,16.94,Qualcomm Snapdragon 4 Gen 1,16999
177,REDMI Note 12,Lunar Black,64,6,5000,50,13,0,16.94,Snapdragon 685,14999
179,realme C31,Dark Green,64,4,5000,13,5,0,16.56,Unisoc T612,8749
180,realme C31,Light Silver,32,3,5000,13,5,0,16.56,Unisoc T612,8049
183,OPPO A17,Lake Blue,64,4,5000,50,5,0,16.66,Mediatek Helio G35,12499
184,realme 9 5G SE,Azure Glow,128,8,5000,48,16,0,16.76,Qualcomm Snapdragon 778G,17999
185,realme 9 5G SE,Starry Glow,128,8,5000,48,16,0,16.76,Qualcomm Snapdragon 778G,17999
186,realme 9i 5G,Soulful Blue,128,6,5000,50,8,0,16.76,Mediatek Dimensity 810 5G,16999
187,realme 9i 5G,Rocking Black,64,4,5000,50,8,0,16.76,Mediatek Dimensity 810 5G,14999
188,POCO M4 Pro,Cool Blue,128,8,5000,64,16,0,16.33,Mediatek Helio G96,13999
189,realme C33 2023,Sandy Gold,64,4,5000,50,5,0,16.51,Unisoc T612,9999
190,realme C33 2023,Aqua Blue,64,4,5000,50,5,0,16.51,Unisoc T612,9999
191,realme C33 2023,Night Sea,64,4,5000,50,5,0,16.51,Unisoc T612,9999
192,realme C31,Dark Green,32,3,5000,13,5,0,16.56,Unisoc T612,8049
195,realme 9i 5G,Metallica Gold,128,6,5000,50,8,0,16.76,Mediatek Dimensity 810 5G,16999
196,realme 9i 5G,Rocking Black,128,6,5000,50,8,0,16.76,Mediatek Dimensity 810 5G,16999
197,realme 9i 5G,Soulful Blue,64,4,5000,50,8,0,16.76,Mediatek Dimensity 810 5G,14999
198,realme C21Y,Cross Black,32,3,5000,13,5,0,16.51,Unisoc T610,7499
199,realme Narzo 50i Prime,Dark Blue,32,3,5000,8,5,0,16.51,Unisoc T612 processor,7245
200,POCO X5 5G,Wildcat Blue,256,8,5000,48,13,0,16.94,Qualcomm Snapdragon 695,17999
201,REDMI Note 12 Pro 5G,Stardust Purple,256,8,5000,50,16,0,16.94,Mediatek Dimensity 1080,26999
202,REDMI Note 12 Pro 5G,Stardust Purple,128,6,5000,50,16,0,16.94,Mediatek Dimensity 1080,23999
203,realme C31,Light Silver,64,4,5000,13,5,0,16.56,Unisoc T612,8749
204,POCO X5 Pro 5G,Horizon Blue,128,6,5000,108,16,0,16.94,Qualcomm Snapdragon 778G,21999
205,Infinix Zero 5G 2023,Submariner Black,128,8,5000,50,16,0,17.22,Mediatek Dimensity 920,15999
206,POCO X4 Pro 5G,Yellow,128,6,5000,64,16,0,16.94,Qualcomm Snapdragon 695 5G,17499
207,MOTOROLA g82 5G,Meterorite Grey,128,8,5000,50,16,0,16.76,Qualcomm Snapdragon 695 5G,21499
208,realme 9i 5G,Metallica Gold,64,4,5000,50,8,0,16.76,Mediatek Dimensity 810 5G,14999
210,vivo T1 44W,Midnight Galaxy,128,8,5000,50,16,0,16.36,Qualcomm Snapdragon 680,17999
211,vivo T1 44W,Ice Dawn,128,8,5000,50,16,0,16.36,Qualcomm Snapdragon 680,17999
212,vivo T1 44W,Starry Sky,128,6,5000,50,16,0,16.36,Qualcomm Snapdragon 680,15999
213,vivo T1 44W,Midnight Galaxy,128,4,5000,50,16,0,16.36,Qualcomm Snapdragon 680,14499
214,vivo T1 44W,Ice Dawn,128,6,5000,50,16,0,16.36,Qualcomm Snapdragon 680,15999
215,MOTOROLA g82 5G,White Lily,128,8,5000,50,16,0,16.76,Qualcomm Snapdragon 695 5G,21499
216,MOTOROLA g31,Baby Blue,128,6,5000,50,13,0,16.26,Mediatek Helio G85,12999
218,realme narzo 50i Prime,Mint Green,32,3,5000,8,5,0,16.51,Unisoc Tiger T612 (12 nm),7115
219,MOTOROLA e13,Aurora Green,64,2,5000,13,5,0,16.51,Unisoc T606,6799
220,REDMI Note 12 Pro 5G,Glacier Blue,128,6,5000,50,16,0,16.94,Mediatek Dimensity 1080,23999
221,vivo T1 44W,Starry Sky,128,4,5000,50,16,0,16.36,Qualcomm Snapdragon 680,14499
223,Infinix Zero 5G 2023,Pearly White,128,8,5000,50,16,0,17.22,Mediatek Dimensity 920,15999
224,POCO X5 Pro 5G,Yellow,256,8,5000,108,16,0,16.94,Qualcomm Snapdragon 778G,23999
226,realme Narzo 50,Speed Blue,64,4,5000,50,16,0,16.76,Mediatek Helio G96,12999
231,realme Narzo 50,Speed Blue,128,6,5000,50,16,0,16.76,Mediatek Helio G96,12999
232,POCO X5 5G,Supernova Green,256,8,5000,48,13,0,16.94,Qualcomm Snapdragon 695,17999
233,MOTOROLA g52,Charcoal Grey,128,6,5000,50,16,0,16.76,Qualcomm Snapdragon 680,13999
234,vivo T1 44W,Starry Sky,128,8,5000,50,16,0,16.36,Qualcomm Snapdragon 680,17999
235,vivo T1 44W,Midnight Galaxy,128,6,5000,50,16,0,16.36,Qualcomm Snapdragon 680,15999
236,realme Narzo 50,Speed Black,128,6,5000,50,16,0,16.76,Mediatek Helio G96,12999
237,OPPO A17k,Blue,64,3,5000,8,5,0,16.66,Mediatek Helio P35,9499
238,REDMI Note 12 Pro 5G,Stardust Purple,128,8,5000,50,16,0,16.94,Mediatek Dimensity 1080,25999
241,Infinix Zero 5G 2023,Coral Orange,128,8,5000,50,16,0,17.22,Mediatek Dimensity 920,15999
242,POCO F5 5G,Snowstorm White,256,8,5000,64,16,0,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),29999
249,OPPO A17,Lake Blue,64,4,5000,50,5,0,16.66,Mediatek Helio G35,11970
251,REDMI Note 12,Sunrise Gold,128,6,5000,50,13,0,16.94,Snapdragon 685,16999
252,REDMI 11 Prime,Playful Green,128,6,5000,50,8,0,16.71,Helio G99,11999
253,REDMI Note 12 Pro 5G,Onyx Black,128,8,5000,50,16,0,16.94,Mediatek Dimensity 1080,25999
254,Micromax IN 2C,Silver,32,3,5000,8,5,0,16.56,Unisoc T610,5999
256,REDMI Note 12,Lunar Black,128,6,5000,50,13,0,16.94,Snapdragon 685,16999
257,OPPO A17,Sunlight Orange,64,4,5000,50,5,0,16.66,Mediatek Helio G35,12499
258,OPPO A17,Midnight Black,64,4,5000,50,5,0,16.66,Mediatek Helio G35,12499
259,POCO X5 Pro 5G,Yellow,128,6,5000,108,16,0,16.94,Qualcomm Snapdragon 778G,21999
260,realme 9 Pro+ 5G,Aurora Green,256,8,4500,50,16,0,16.26,Mediatek Dimensity 920,21999
261,realme 9 Pro+ 5G,Midnight Black,256,8,4500,50,16,0,16.26,Mediatek Dimensity 920,21999
262,REDMI 11 Prime,Playful Green,64,4,5000,50,8,0,16.71,Helio G99,9999
263,REDMI Note 12 Pro 5G,Glacier Blue,256,8,5000,50,16,0,16.94,Mediatek Dimensity 1080,26999
264,REDMI Note 12 Pro 5G,Onyx Black,128,6,5000,50,16,0,16.94,Mediatek Dimensity 1080,23999
265,REDMI Note 12,Ice Blue,128,6,5000,50,13,0,16.94,Snapdragon 685,16999
266,realme Narzo 30,Racing Silver,64,4,5000,48,16,0,16.51,MediaTek Helio G95,13499
267,POCO X5 Pro 5G,Astral Black,128,6,5000,108,16,0,16.94,Qualcomm Snapdragon 778G,21999
273,MOTOROLA G32,Mineral Gray,64,4,5000,50,16,0,16.64,Qualcomm Snapdragon 680,10999
274,MOTOROLA g72,Meteorite Grey,128,6,5000,108,16,0,16.64,Mediatek Helio G99,16999
275,Micromax IN 2C,Brown,32,3,5000,8,5,0,16.56,Unisoc T610,5999
276,vivo Y16,Drizzling Gold,128,4,5000,13,5,0,16.54,Mediatek Helio P35,12990
278,POCO X4 Pro 5G,Yellow,64,6,5000,64,16,0,16.94,Qualcomm Snapdragon 695 5G,16499
279,POCO F5 5G,Carbon Black,256,8,5000,64,16,0,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),29999
